26,-0.00031648,8.186e-05,9.52e-06,-9.5e-07,-1e-07,-7e-08
19,-1.23610162,-0.04569156,-0.01891488,0.07521379,-0.02329869,0.00104127
27,-2.45420831,-0.08014073,-0.02106773,0.05026855,-0.03048583,0.02607088
30,-3.6729494,-0.11264962,-0.06390688,-0.20494951,-0.05289538,0.04533455
57,-4.92265251,-0.20506698,-0.09747763,-0.10743178,-0.04133858,0.05478146
54,-6.12898128,-0.23082716,-0.1067038,0.02581371,-0.02310186,0.00951619
49,-7.35923504,-0.25396217,-0.13239448,-0.27036455,-0.02651262,-0.0054238
34,-9.79813704,-0.31949408,-0.10293731,-0.0486723,0.02920032,0.05842479
51,-12.26508248,-0.43466439,-0.08410013,0.02180951,0.01845891,0.02704641
6,-14.76018384,-0.45550947,-0.0641432,-0.1198637,0.00593493,0.00822595
14,-17.20476697,-0.50517753,-0.08602106,-0.13474784,-0.00160071,0.02644034
32,-19.65033644,-0.60684289,-0.08953935,-0.00466832,-0.0020629,0.05338338
25,-22.16185617,-0.70750571,-0.09390556,-0.07079614,-0.00010853,0.04392212
16,-24.58730015,-0.7868084,-0.0603047,-0.12896606,0.0087104,0.02470236
46,-25.87334024,-0.81422537,-0.02788534,-0.08593863,0.00408693,0.02942613
21,-27.08920155,-0.86079444,-0.03332049,-0.1259611,-0.02026658,0.03846655
13,-0.28252029,0.74877322,-0.07656197,0.13858334,-0.18873794,1.62858741
0,-1.48206724,0.6422115,-0.08403658,0.04006865,-0.26746507,1.63940171
36,-3.89851384,0.60976023,-0.08010307,0.00566513,-0.23986679,1.63138073
17,-6.35960917,0.48478711,-0.0942315,0.00825211,-0.22017633,1.60355312
10,-8.81220174,0.45312799,-0.1280381,0.09097588,-0.12242255,1.57521766
39,-11.24961349,0.39782119,-0.1041855,0.02032096,-0.08214677,1.62714897
47,-13.72232095,0.30204588,-0.08755453,0.01526457,-0.09669205,1.58138021
44,-16.20702142,0.28271545,-0.10247326,0.02844601,-0.06627771,1.59910563
43,-18.66037536,0.15137987,-0.09509817,0.01745492,-0.08357144,1.59527036
37,-21.15242329,0.10056682,-0.11742219,0.03020981,-0.05642493,1.62674092
11,-23.61459679,0.02366036,-0.10487641,0.03371806,-0.06103642,1.59082784
40,-26.08615993,-0.03526912,-0.10128361,0.061838,0.02328855,1.57112134
58,-0.34728534,1.64031506,-0.06851836,0.0843971,-0.23783672,1.6090549
2,-1.55860327,1.58332644,-0.06929779,0.07283573,-0.19536918,1.6026776
15,-2.75255299,1.61342931,-0.05445669,0.09863487,-0.15487986,1.61211317
20,-3.96100283,1.54790621,-0.04129077,0.11252496,-0.14966693,1.60413335
3,-5.19630274,1.51453021,-0.04669388,0.12363088,-0.1429003,1.58183776
9,-6.41216045,1.45531321,-0.0021404,0.08970453,-0.14284437,1.62568764
55,-8.81979809,1.45358742,-0.01479114,0.11328954,-0.09175677,1.58944758
8,-11.28537042,1.37911504,-0.05310026,0.00854192,-0.0814008,1.59901177
42,-13.75684423,1.29040418,-0.03220552,0.05732443,-0.04318841,1.64348922
59,-16.21818165,1.24004509,-0.06839577,-0.08975957,-0.16378908,1.58631269
35,-18.70521862,1.12839171,-0.06971822,-0.05792131,-0.08888414,1.59129224
41,-21.18191329,1.00583858,-0.05317244,0.02426912,-0.06839233,1.58939216
45,-22.43591859,1.01212251,-0.07418475,0.00468099,-0.07670087,1.58821213
12,-23.63602857,0.95710138,-0.0552542,0.03828928,-0.02973502,1.65092628
38,-24.87970438,0.92278299,-0.05979287,-0.03007735,-0.09330167,1.59645362
50,-26.10639318,0.89953925,-0.08717692,0.08261048,0.03286963,1.62508742
52,-27.16151588,0.84192616,-0.07427027,0.04238865,0.03417422,1.58180971
5,-0.47363649,3.31144705,-0.02907863,0.00162644,-0.1152744,1.65678603
1,-1.69999914,3.46345095,0.00044159,-0.06674971,-0.18950219,1.64153728
22,-2.88359824,3.25066833,0.00132168,0.01989325,-0.09702072,1.60878641
4,-5.26256377,3.34284022,0.04938923,-0.06476458,-0.1850034,1.6064412
28,-7.67497645,3.14175508,0.07901182,-0.04243091,-0.15368982,1.578546
31,-10.14979062,3.21124616,-0.02158342,-0.04271939,-0.13125033,1.59757839
33,-12.62273168,3.0621386,0.02820281,-0.08351611,-0.16405879,1.58761805
18,-15.08103327,3.13167631,0.01521867,-0.10674208,-0.16112356,1.60910644
24,-17.51650191,3.03867566,-0.01636894,-0.03154619,-0.09389073,1.60709014
23,-20.06938073,2.96054505,0.00544406,-0.04055984,-0.15488355,1.6504742
56,-22.49405841,2.84601262,0.01550565,-0.0976265,-0.13719679,1.60446821
53,-24.98486055,2.82429128,-0.01942224,-0.1610468,-0.21203357,1.59793823
7,-26.17886115,2.75544275,-0.05258097,-0.14021889,-0.16102426,1.57746565
29,-27.22694218,2.72469823,-0.04472749,-0.0976745,-0.13555315,1.62414991
